"","clock.start.time","start","end","stage"
"172","01:25:30",5130,5160,"3"
"173","01:26:00",5160,5190,"3"
"174","01:26:30",5190,5220,"3"
"175","01:27:00",5220,5250,"3"
"176","01:27:30",5250,5280,"3"
"177","01:28:00",5280,5310,"3"
"178","01:28:30",5310,5340,"3"
"179","01:29:00",5340,5370,"3"
"180","01:29:30",5370,5400,"3"
"181","01:30:00",5400,5430,"3"
"182","01:30:30",5430,5460,"3"
"183","01:31:00",5460,5490,"3"
"184","01:31:30",5490,5520,"3"
"185","01:32:00",5520,5550,"3"
"186","01:32:30",5550,5580,"3"
"187","01:33:00",5580,5610,"3"
"188","01:33:30",5610,5640,"3"
"189","01:34:00",5640,5670,"3"
"190","01:34:30",5670,5700,"3"
"191","01:35:00",5700,5730,"3"
"192","01:35:30",5730,5760,"3"
"193","01:36:00",5760,5790,"-1"
"194","01:36:30",5790,5820,"1"
"195","01:37:00",5820,5850,"2"
"196","01:37:30",5850,5880,"2"
"197","01:38:00",5880,5910,"2"
"198","01:38:30",5910,5940,"2"
"199","01:39:00",5940,5970,"2"
"200","01:39:30",5970,6000,"2"
"201","01:40:00",6000,6030,"2"
"202","01:40:30",6030,6060,"2"
"203","01:41:00",6060,6090,"2"
"204","01:41:30",6090,6120,"2"
"205","01:42:00",6120,6150,"2"
"206","01:42:30",6150,6180,"2"
"207","01:43:00",6180,6210,"2"
"208","01:43:30",6210,6240,"2"
"209","01:44:00",6240,6270,"2"
"210","01:44:30",6270,6300,"2"
"211","01:45:00",6300,6330,"-1"
"212","01:45:30",6330,6360,"1"
"213","01:46:00",6360,6390,"1"
"214","01:46:30",6390,6420,"2"
"215","01:47:00",6420,6450,"2"
"216","01:47:30",6450,6480,"3"
"217","01:48:00",6480,6510,"3"
"218","01:48:30",6510,6540,"3"
"219","01:49:00",6540,6570,"3"
"220","01:49:30",6570,6600,"3"
"221","01:50:00",6600,6630,"3"
"222","01:50:30",6630,6660,"3"
"223","01:51:00",6660,6690,"3"
"224","01:51:30",6690,6720,"3"
"225","01:52:00",6720,6750,"3"
"226","01:52:30",6750,6780,"3"
"227","01:53:00",6780,6810,"3"
"228","01:53:30",6810,6840,"3"
"229","01:54:00",6840,6870,"3"
"230","01:54:30",6870,6900,"3"
"231","01:55:00",6900,6930,"3"
"232","01:55:30",6930,6960,"3"
"233","01:56:00",6960,6990,"3"
"234","01:56:30",6990,7020,"3"
"235","01:57:00",7020,7050,"3"
"236","01:57:30",7050,7080,"3"
"237","01:58:00",7080,7110,"3"
"238","01:58:30",7110,7140,"3"
"239","01:59:00",7140,7170,"3"
"240","01:59:30",7170,7200,"3"
"241","02:00:00",7200,7230,"3"
"242","02:00:30",7230,7260,"3"
"243","02:01:00",7260,7290,"3"
"244","02:01:30",7290,7320,"3"
"245","02:02:00",7320,7350,"3"
"246","02:02:30",7350,7380,"3"
"247","02:03:00",7380,7410,"3"
"248","02:03:30",7410,7440,"3"
"249","02:04:00",7440,7470,"2"
"250","02:04:30",7470,7500,"2"
"251","02:05:00",7500,7530,"2"
"252","02:05:30",7530,7560,"1"
"253","02:06:00",7560,7590,"1"
"254","02:06:30",7590,7620,"2"
"255","02:07:00",7620,7650,"2"
"256","02:07:30",7650,7680,"2"
"257","02:08:00",7680,7710,"2"
"258","02:08:30",7710,7740,"1"
"259","02:09:00",7740,7770,"2"
"260","02:09:30",7770,7800,"2"
"261","02:10:00",7800,7830,"2"
"262","02:10:30",7830,7860,"2"
"263","02:11:00",7860,7890,"2"
"264","02:11:30",7890,7920,"2"
"265","02:12:00",7920,7950,"2"
"266","02:12:30",7950,7980,"2"
"267","02:13:00",7980,8010,"2"
"268","02:13:30",8010,8040,"2"
"269","02:14:00",8040,8070,"2"
"270","02:14:30",8070,8100,"2"
"271","02:15:00",8100,8130,"2"
"272","02:15:30",8130,8160,"2"
"273","02:16:00",8160,8190,"2"
"274","02:16:30",8190,8220,"2"
"275","02:17:00",8220,8250,"2"
"276","02:17:30",8250,8280,"2"
"277","02:18:00",8280,8310,"2"
"278","02:18:30",8310,8340,"2"
"279","02:19:00",8340,8370,"2"
"280","02:19:30",8370,8400,"2"
"281","02:20:00",8400,8430,"2"
"282","02:20:30",8430,8460,"2"
"283","02:21:00",8460,8490,"2"
"284","02:21:30",8490,8520,"2"
"285","02:22:00",8520,8550,"2"
"286","02:22:30",8550,8580,"2"
"287","02:23:00",8580,8610,"2"
"288","02:23:30",8610,8640,"2"
"289","02:24:00",8640,8670,"2"
"290","02:24:30",8670,8700,"2"
"291","02:25:00",8700,8730,"2"
"292","02:25:30",8730,8760,"2"
"293","02:26:00",8760,8790,"3"
"294","02:26:30",8790,8820,"2"
"295","02:27:00",8820,8850,"3"
"296","02:27:30",8850,8880,"3"
"297","02:28:00",8880,8910,"3"
"298","02:28:30",8910,8940,"3"
"299","02:29:00",8940,8970,"3"
"300","02:29:30",8970,9000,"3"
"301","02:30:00",9000,9030,"3"
"302","02:30:30",9030,9060,"3"
"303","02:31:00",9060,9090,"3"
"304","02:31:30",9090,9120,"3"
"305","02:32:00",9120,9150,"3"
"306","02:32:30",9150,9180,"3"
"307","02:33:00",9180,9210,"3"
"308","02:33:30",9210,9240,"3"
"309","02:34:00",9240,9270,"3"
"310","02:34:30",9270,9300,"3"
"311","02:35:00",9300,9330,"3"
"312","02:35:30",9330,9360,"3"
"313","02:36:00",9360,9390,"3"
"314","02:36:30",9390,9420,"3"
"315","02:37:00",9420,9450,"3"
"316","02:37:30",9450,9480,"3"
"317","02:38:00",9480,9510,"3"
"318","02:38:30",9510,9540,"3"
"319","02:39:00",9540,9570,"3"
"320","02:39:30",9570,9600,"3"
"321","02:40:00",9600,9630,"3"
"322","02:40:30",9630,9660,"3"
"323","02:41:00",9660,9690,"3"
"324","02:41:30",9690,9720,"3"
"325","02:42:00",9720,9750,"3"
"326","02:42:30",9750,9780,"3"
"327","02:43:00",9780,9810,"3"
"328","02:43:30",9810,9840,"3"
"329","02:44:00",9840,9870,"3"
"330","02:44:30",9870,9900,"3"
"331","02:45:00",9900,9930,"3"
"332","02:45:30",9930,9960,"3"
"333","02:46:00",9960,9990,"3"
"334","02:46:30",9990,10020,"3"
"335","02:47:00",10020,10050,"3"
"336","02:47:30",10050,10080,"3"
"337","02:48:00",10080,10110,"3"
"338","02:48:30",10110,10140,"3"
"339","02:49:00",10140,10170,"3"
"340","02:49:30",10170,10200,"3"
"341","02:50:00",10200,10230,"3"
"342","02:50:30",10230,10260,"3"
"343","02:51:00",10260,10290,"3"
"344","02:51:30",10290,10320,"3"
"345","02:52:00",10320,10350,"3"
"346","02:52:30",10350,10380,"2"
"347","02:53:00",10380,10410,"2"
"348","02:53:30",10410,10440,"2"
"349","02:54:00",10440,10470,"2"
"350","02:54:30",10470,10500,"2"
"351","02:55:00",10500,10530,"2"
"352","02:55:30",10530,10560,"2"
"353","02:56:00",10560,10590,"2"
"354","02:56:30",10590,10620,"2"
"355","02:57:00",10620,10650,"2"
"356","02:57:30",10650,10680,"2"
"357","02:58:00",10680,10710,"2"
"358","02:58:30",10710,10740,"2"
"359","02:59:00",10740,10770,"2"
"360","02:59:30",10770,10800,"2"
"361","03:00:00",10800,10830,"2"
"362","03:00:30",10830,10860,"2"
"363","03:01:00",10860,10890,"2"
"364","03:01:30",10890,10920,"2"
"365","03:02:00",10920,10950,"2"
"366","03:02:30",10950,10980,"2"
"367","03:03:00",10980,11010,"2"
"368","03:03:30",11010,11040,"2"
"369","03:04:00",11040,11070,"2"
"370","03:04:30",11070,11100,"2"
"371","03:05:00",11100,11130,"3"
"372","03:05:30",11130,11160,"2"
"373","03:06:00",11160,11190,"3"
"374","03:06:30",11190,11220,"2"
"375","03:07:00",11220,11250,"2"
"376","03:07:30",11250,11280,"2"
"377","03:08:00",11280,11310,"2"
"378","03:08:30",11310,11340,"2"
"379","03:09:00",11340,11370,"2"
"380","03:09:30",11370,11400,"2"
"381","03:10:00",11400,11430,"2"
"382","03:10:30",11430,11460,"2"
"383","03:11:00",11460,11490,"2"
"384","03:11:30",11490,11520,"2"
"385","03:12:00",11520,11550,"3"
"386","03:12:30",11550,11580,"3"
"387","03:13:00",11580,11610,"3"
"388","03:13:30",11610,11640,"3"
"389","03:14:00",11640,11670,"3"
"390","03:14:30",11670,11700,"3"
"391","03:15:00",11700,11730,"3"
"392","03:15:30",11730,11760,"3"
"393","03:16:00",11760,11790,"3"
"394","03:16:30",11790,11820,"3"
"395","03:17:00",11820,11850,"3"
"396","03:17:30",11850,11880,"3"
"397","03:18:00",11880,11910,"3"
"398","03:18:30",11910,11940,"3"
"399","03:19:00",11940,11970,"3"
"400","03:19:30",11970,12000,"3"
"401","03:20:00",12000,12030,"3"
"402","03:20:30",12030,12060,"3"
"403","03:21:00",12060,12090,"3"
"404","03:21:30",12090,12120,"3"
"405","03:22:00",12120,12150,"3"
"406","03:22:30",12150,12180,"3"
"407","03:23:00",12180,12210,"3"
"408","03:23:30",12210,12240,"3"
"409","03:24:00",12240,12270,"3"
"410","03:24:30",12270,12300,"2"
"411","03:25:00",12300,12330,"3"
"412","03:25:30",12330,12360,"3"
"413","03:26:00",12360,12390,"2"
"414","03:26:30",12390,12420,"2"
"415","03:27:00",12420,12450,"2"
"416","03:27:30",12450,12480,"2"
"417","03:28:00",12480,12510,"2"
"418","03:28:30",12510,12540,"2"
"419","03:29:00",12540,12570,"2"
"420","03:29:30",12570,12600,"2"
"421","03:30:00",12600,12630,"2"
"422","03:30:30",12630,12660,"2"
"423","03:31:00",12660,12690,"2"
"424","03:31:30",12690,12720,"2"
"425","03:32:00",12720,12750,"2"
"426","03:32:30",12750,12780,"2"
"427","03:33:00",12780,12810,"2"
"428","03:33:30",12810,12840,"2"
"429","03:34:00",12840,12870,"2"
"430","03:34:30",12870,12900,"2"
"431","03:35:00",12900,12930,"2"
"432","03:35:30",12930,12960,"2"
"433","03:36:00",12960,12990,"2"
"434","03:36:30",12990,13020,"2"
"435","03:37:00",13020,13050,"2"
"436","03:37:30",13050,13080,"2"
"437","03:38:00",13080,13110,"2"
"438","03:38:30",13110,13140,"2"
"439","03:39:00",13140,13170,"2"
"440","03:39:30",13170,13200,"2"
"441","03:40:00",13200,13230,"2"
"442","03:40:30",13230,13260,"2"
"443","03:41:00",13260,13290,"2"
"444","03:41:30",13290,13320,"2"
"445","03:42:00",13320,13350,"2"
"446","03:42:30",13350,13380,"2"
"447","03:43:00",13380,13410,"2"
"448","03:43:30",13410,13440,"2"
"449","03:44:00",13440,13470,"2"
"450","03:44:30",13470,13500,"2"
"451","03:45:00",13500,13530,"2"
"452","03:45:30",13530,13560,"2"
"453","03:46:00",13560,13590,"2"
"454","03:46:30",13590,13620,"2"
"455","03:47:00",13620,13650,"2"
"456","03:47:30",13650,13680,"2"
"457","03:48:00",13680,13710,"2"
"458","03:48:30",13710,13740,"2"
"459","03:49:00",13740,13770,"2"
"460","03:49:30",13770,13800,"2"
"461","03:50:00",13800,13830,"2"
"462","03:50:30",13830,13860,"2"
"463","03:51:00",13860,13890,"2"
"464","03:51:30",13890,13920,"2"
"465","03:52:00",13920,13950,"2"
"466","03:52:30",13950,13980,"2"
"467","03:53:00",13980,14010,"2"
"468","03:53:30",14010,14040,"2"
"469","03:54:00",14040,14070,"2"
"470","03:54:30",14070,14100,"2"
"471","03:55:00",14100,14130,"2"
